,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,household_income,annual_vmt
0,Alameda,CA,1783929600000.0,318966620.0,7192956300.0,136290200.0,1217269.0,1217269.0,0.0,0.0,100.0,0.0,0.0,100.0,739.016,1510271,1504402,5869,0.4,2043.6214593169036,urban,29.0,9.0,293.0,14.0,4.0,49.0,"$101,744",8,"$100,000 to $124,999",10763.31
1,Contra Costa,CA,4027894200000.0,240519220.0,5423903700.0,102770660.0,917891.0,917891.0,0.0,0.0,100.0,0.0,0.0,100.0,715.937,1049025,1040709,8316,0.8,1465.2476405046812,urban,14.0,12.0,296.0,8.0,7.0,51.0,"$101,463",8,"$100,000 to $124,999",10763.31
2,Marin,CA,960235880000.0,57338939.0,1293039600.0,24500166.0,218822.0,218822.0,0.0,0.0,100.0,0.0,0.0,100.0,520.306,252409,235952,16457,6.5,485.11645070400874,suburban,42.0,30.0,357.0,22.0,13.0,55.0,"$122,933",8,"$100,000 to $124,999",10763.31
3,San Francisco,CA,1565396800000.0,119103380.0,2685878000.0,50891291.0,454533.0,454533.0,6.8764172e-12,0.0,100.0,0.0,0.0,100.0,46.873,805235,805235,0,0.0,17179.079640731336,urban,33.0,1.0,399.0,16.0,1.0,58.0,"$110,601",8,"$100,000 to $124,999",10763.31
4,San Mateo,CA,3143350500000.0,187700110.0,4232790000.0,80201763.0,716318.0,716318.0,0.0,0.0,100.0,0.0,0.0,100.0,448.408,718451,704865,13586,1.9,1602.2260976610587,urban,18.0,10.0,369.0,9.0,5.0,56.0,"$122,930",8,"$100,000 to $124,999",10763.31
5,Alpine,CA,3585886300.0,1133274.62,12695918.3,420333.981,1820.9999899999998,396.96189,0.0,1424.0381,21.8,0.0,78.2,21.79911538907953,738.332,1175,0,1175,100.0,1.5914249958013469,rural,393.0,380.0,294.0,58.0,58.0,50.0,"$55,384",6,"$50,000 to $74,999",10577.93
6,Amador,CA,71470663000.0,15703854.5,198967876.0,5947661.7,29750.0,12759.691,1.1247949000000001e-13,16990.308999999997,42.9,0.0,57.1,42.889718153250705,594.583,38091,15075,23016,60.4,64.06338559965555,rural,226.0,117.0,335.0,46.0,36.0,54.0,"$58,515",6,"$50,000 to $74,999",10577.93
7,Butte,CA,194734030000.0,34818444.0,757602440.0,14877458.0,127993.0,127993.0,0.0,0.0,100.0,0.0,0.0,69.2993337365509,1636.464,220000,178416,41584,18.9,134.43619902423762,suburban,127.0,68.0,53.0,37.0,24.0,28.0,"$50,945",6,"$50,000 to $74,999",10577.93
8,Calaveras,CA,98361826000.0,36755748.0,392792573.0,13531418.26,55341.0004,6895.8224,0.0,48445.178,12.5,0.0,87.5,12.460603195862804,1020.012,45578,11208,34370,75.4,44.68378803386627,rural,197.0,150.0,126.0,41.0,39.0,40.0,"$62,984",6,"$50,000 to $74,999",10577.93
9,Colusa,CA,19724903520.0,3529778.238000001,76494553.06,1506578.5235,12914.999823,12878.256000000001,0.0,36.743823,99.7,0.0,0.3,59.71549498167461,1150.731,21419,14624,6795,31.7,18.61338575218709,suburban,342.0,243.0,97.0,55.0,48.0,39.0,"$57,249",6,"$50,000 to $74,999",10577.93
10,Fresno,CA,2466029100000.0,187628090.0,4082534400.0,80170987.0,689723.0,689723.0,7.451169199999999e-12,0.0,100.0,0.0,0.0,67.29060341275007,5957.991,930450,829913,100537,10.8,156.16841314463215,suburban,24.0,63.0,8.0,12.0,22.0,6.0,"$52,318",6,"$50,000 to $74,999",10577.93
11,Inyo,CA,87157436000.0,7210908.300000002,127814182.0,2925763.02,20806.0001,17343.644,1.1247949000000001e-13,3462.3561,83.4,0.0,16.6,43.358857550221956,10180.879,18546,9935,8611,46.4,1.821650173820944,suburban,214.0,375.0,2.0,45.0,57.0,2.0,"$53,793",6,"$50,000 to $74,999",10577.93
