,state,county,census_area,e85_area
0,CA,Lassen,4541.184,0.0
1,CA,Modoc,3917.77,0.0
2,CA,San Francisco,46.873000000000005,0.9786308433338388
3,CA,Santa Barbara,2735.085,0.034415983386638184
4,CA,Sierra,953.2139999999999,0.0
5,CA,Solano,821.765,0.3655657611750635
6,CA,Sutter,602.41,0.000434102960188123
7,CA,Trinity_CA,3179.2540000000004,0.0
8,CA,Ventura,1843.1329999999998,0.06962681296974195
9,CA,Yuba,631.839,0.0
10,CA,Lake_CA,1256.464,0.0
11,CA,San Bernardino,20056.938000000002,0.042549790989705245
12,CA,Santa Cruz,445.17,0.0
13,CA,Alameda,739.0169999999999,0.5261095902898877
14,CA,Alpine,738.332,0.0
15,CA,Amador,594.5830000000001,0.0
16,CA,Butte,1636.464,0.06659359006691969
17,CA,Calaveras,1020.012,0.0
18,CA,Colusa,1150.731,0.0
19,CA,Contra Costa,715.937,0.18488502243636137
20,CA,Del Norte,1006.373,0.0
21,CA,El Dorado,1707.8829999999998,0.06667582101771688
22,CA,Fresno,5957.991,0.04329275424167618
23,CA,Glenn,1313.9470000000001,0.005782472827232931
24,CA,Humboldt,3567.987,0.0
25,CA,Imperial,4176.603,0.026485790574592816
26,CA,Inyo,10180.879,0.0
27,CA,Kern,8131.916,0.019531321896200812
28,CA,Kings,1389.42,0.0
29,CA,Los Angeles,4057.884,0.33793489215734673
30,CA,Madera,2137.069,0.013753799282786866
31,CA,Marin,520.306,0.0
32,CA,Mariposa,1448.816,0.0
33,CA,Mendocino,3506.343,0.0
34,CA,Merced,1934.9720000000002,0.0
35,CA,Mono,3048.982,0.0
36,CA,Monterey,3280.595,0.0
37,CA,Napa,748.362,0.1262304051011619
38,CA,Nevada,957.7719999999999,0.0
39,CA,Orange_CA,790.568,0.6525606329893983
40,CA,Placer,1407.009,0.07546958628268259
41,CA,Plumas,2553.0429999999997,0.0
42,CA,Riverside,7206.48,0.16786043614436882
43,CA,Sacramento,964.6439999999999,0.5313092797043005
44,CA,San Benito,1388.71,0.0
45,CA,San Diego,4206.63,0.21964331572371967
46,CA,San Joaquin,1391.3220000000001,0.1972940619378246
47,CA,San Luis Obispo,3298.567,0.07616842823149991
48,CA,San Mateo,448.408,0.37801163191503134
49,CA,Santa Clara,1290.1,0.17471331872825416
50,CA,Shasta,3775.402,0.0
51,CA,Siskiyou,6277.887,0.0
52,CA,Sonoma,1575.849,0.0021869479257576106
53,CA,Stanislaus,1494.8270000000002,0.1409978415367197
54,CA,Tehama,2949.7090000000003,0.0
55,CA,Tulare,4824.215,0.024624834111877766
56,CA,Tuolumne,2220.884,0.0
57,CA,Yolo,1014.689,0.2331695963246104
58,MN,Houston_MN,552.058,0.2964418630375544
59,MN,Hubbard,925.675,0.045689133884594765
60,MN,Isanti,435.79400000000004,0.48837128778632855
61,MN,Jackson_MN,702.982,0.5595764624774121
62,MN,Kanabec,521.586,0.2244462064907829
63,MN,Kandiyohi,796.785,0.3146706709656594
64,MN,Koochiching,3104.07,0.0
65,MN,Aitkin,1821.6629999999998,0.0
66,MN,Blue Earth,747.8439999999999,0.3848814644989193
67,MN,Brown_MN,611.09,0.2511225157298409
68,MN,Cass_MN,2021.5420000000001,0.02419301576583378
69,MN,Chippewa,581.122,0.45313645896290006
70,MN,Clay_MN,1045.366,0.28653150498103547
71,MN,Cook,1452.277,0.0
72,MN,Cottonwood,638.61,0.6215515738680912
73,MN,Grant,548.16,0.3015247905863594
74,MN,Hennepin,553.591,0.9799262328703073
75,MN,Itasca,2667.722,0.040579925384612456
76,MN,Kittson,1098.8039999999999,0.13216741264164866
77,MN,Lac qui Parle,765.0210000000001,0.38286766682345674
78,MN,Lake_MN,2109.292,0.027449690784499707
79,MN,Lake of the Woods,1297.869,0.0
80,MN,Lyon,714.559,0.40332035633905966
81,MN,Marshall,1775.068,0.007159558304333058
82,MN,Morrison,1125.062,0.17741194615905984
83,MN,Nicollet,448.494,0.19288435045495472
84,MN,Norman,872.789,0.0
85,MN,Pennington,616.57,0.0
86,MN,Polk_MN,1971.128,0.14882349028540814
87,MN,Red Lake,432.407,0.24860659870335808
88,MN,Redwood,878.572,0.5314685720307604
89,MN,Renville,982.9060000000001,0.5388147502960189
90,MN,St. Louis,6247.401,0.0361282857219643
91,MN,Scott,356.476,0.8347021569999938
92,MN,Stearns,1343.1329999999998,0.48884930340431454
