,County,State,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,efuels_area,census_area,census_totpop,census_urbpop,census_rurpop,pct_rural,pop_density,county_class,ghg_globalrank,popden_globalrank,censusarea_globalrank,ghg_staterank,popden_staterank,censusarea_staterank,median_household_income_2018,household_income_ID,annual_vmt,Efuel Station Count,e85_area,E85 Station Count
0,Alameda,CA,1783929600000.0,318966620.0,7192956300.0,136290200.0,1217269.0,1217269.0,0.0,0.0,100.0,0.0,0.0,100.0,739.0160000000001,1510271,1504402,5869,0.4,2043.621459316904,urban,28.0,9.0,293.0,14.0,4.0,49.0,"$101,744",8,10829.72,317.0,52.610959028988766,6.0
1,Contra Costa,CA,4027894200000.0,240519220.0,5423903700.0,102770660.0,917891.0,917891.0,0.0,0.0,100.0,0.0,0.0,100.0,715.937,1049025,1040709,8316,0.8,1465.2476405046814,urban,13.0,12.0,296.0,8.0,7.0,51.0,"$101,463",8,10829.72,162.0,18.488502243636134,1.0
2,San Francisco,CA,1565396800000.0,119103380.0,2685878000.0,50891291.0,454533.0,454533.0,6.8764172e-12,0.0,100.0,0.0,0.0,100.0,46.873000000000005,805235,805235,0,0.0,17179.079640731332,urban,33.0,1.0,399.0,16.0,1.0,58.0,"$110,601",8,10829.72,223.0,97.86308433338388,1.0
3,San Mateo,CA,3143350500000.0,187700110.0,4232790000.0,80201763.0,716318.0,716318.0,0.0,0.0,100.0,0.0,0.0,100.0,448.408,718451,704865,13586,1.9,1602.2260976610587,urban,17.0,10.0,369.0,9.0,5.0,56.0,"$122,930",8,10829.72,281.0,37.801163191503136,2.0
4,Alpine,CA,3585886300.000001,1133274.62,12695918.3,420333.981,1820.99999,396.96189,1.1247949000000001e-13,1424.0381,21.8,0.0,78.2,21.799115389079525,738.332,1175,0,1175,100.0,1.5914249958013469,rural,393.0,380.0,294.0,58.0,58.0,50.0,"$55,384",6,9828.845,2.0,0.0,0.0
5,Amador,CA,71470663000.0,15703854.5,198967876.0,5947661.7,29750.0,12759.691,1.1247949000000001e-13,16990.308999999994,42.9,0.0,57.1,42.88971815325071,594.5830000000001,38091,15075,23016,60.4,64.06338559965553,rural,235.0,117.0,335.0,46.0,36.0,54.0,"$58,515",6,9828.845,9.0,0.0,0.0
6,Calaveras,CA,98361826000.0,36755748.0,392792573.0,13531418.26,55341.0004,6895.8224,0.0,48445.178,12.5,0.0,87.5,12.460603195862806,1020.012,45578,11208,34370,75.4,44.68378803386627,rural,198.0,150.0,126.0,43.0,39.0,40.0,"$62,984",6,9828.845,3.0,0.0,0.0
7,Lassen,CA,25027358900.0,10962502.54,112205048.4,4009361.107,15535.99996,498.26696,1.1247949000000001e-13,15037.733,3.2,0.0,96.8,3.20717661863607,4541.184,34895,10285,24610,70.5,7.684119383843508,rural,335.0,313.0,12.0,55.0,51.0,8.0,"$57,705",6,9828.845,2.0,0.0,0.0
8,Mariposa,CA,43932691000.0,11913482.1,136152784.0,4433092.46,19670.0001,5019.8291,0.0,14650.171,25.5,0.0,74.5,25.520229275566606,1448.816,18251,0,18251,100.0,12.597182803061258,rural,284.0,276.0,69.0,50.0,49.0,31.0,"$51,402",6,9828.845,7.0,0.0,0.0
9,Plumas,CA,25952409400.0,10058090.19,106466700.2,3697381.55,14943.9996,1565.7496,0.0,13378.25,10.5,0.0,89.5,10.477446523765249,2553.0429999999997,20007,5197,14810,74.0,7.836530759568093,rural,331.0,311.0,34.0,54.0,50.0,22.0,"$55,079",6,9828.845,3.0,0.0,0.0
10,Sierra,CA,10621278900.0,1645043.8199999996,17856121.8,607089.145,2531.00004,395.66904,0.0,2135.331,15.6,0.0,84.4,15.632913523717878,953.2139999999999,3240,9,3231,99.7,3.399026871195765,rural,373.0,359.0,150.0,57.0,55.0,45.0,"$52,308",6,9828.845,1.0,0.0,0.0
11,Butte,CA,298096099000.0,51513684.2,809599878.0,21064003.7,127992.9994,88698.296,8523.5134,30771.19,69.3,6.7,24.0,69.29933373655089,1636.464,220000,178416,41584,18.9,134.43619902423762,suburban,94.0,68.0,53.0,33.0,24.0,28.0,"$50,945",6,11040.815,20.0,6.659359006691969,1.0
12,Colusa,CA,30335598000.0,5843898.4,83449786.0,2263563.46,12915.0,7712.2562,0.0,5202.7438,59.7,0.0,40.3,59.71549498167462,1150.731,21419,14624,6795,31.7,18.61338575218709,suburban,317.0,243.0,97.0,53.0,48.0,39.0,"$57,249",6,11040.815,3.0,0.0,0.0
13,Fresno,CA,2085962760000.0,285510852.0,4383099110.0,114730777.3,689722.998,464118.77,29860.008,195744.22,67.3,4.3,28.4,67.29060341275007,5957.991,930450,829913,100537,10.8,156.16841314463215,suburban,25.0,63.0,8.0,12.0,22.0,6.0,"$52,318",6,11040.815,116.0,4.329275424167618,6.0
14,Inyo,CA,81030740000.0,10938944.3,139019025.0,4145261.8,20805.9999,9021.2439,0.0,11784.756,43.4,0.0,56.6,43.358857550221956,10180.879,18546,9935,8611,46.4,1.821650173820944,suburban,221.0,375.0,2.0,45.0,57.0,2.0,"$53,793",6,11040.815,4.0,0.0,0.0
15,Kern,CA,2042795273000.0,269293965.5,3957602556.0,105917784.1,616616.006,387049.3,12043.326,217523.38,62.8,2.0,35.3,62.7699079381419,8131.916,839631,753938,85693,10.2,103.25131248281464,suburban,26.0,85.0,3.0,13.0,30.0,3.0,"$51,586",6,11040.815,46.0,1.9531321896200808,2.0
16,Kings,CA,336253878000.0,37745906.0,598761450.0,14939616.7,95132.0,68640.838,1.1247949000000001e-13,26491.162,72.2,0.0,27.8,72.15325875997726,1389.42,152982,136381,16601,10.9,110.10493587252235,suburban,89.0,81.0,73.0,32.0,28.0,34.0,"$58,255",6,11040.815,19.0,0.0,0.0
17,Madera,CA,398264805900.0,45381971.64,713278638.0,18057095.76,113015.9994,79969.67599999999,1554.3994,31491.924,70.8,1.4,27.9,70.75960599951141,2137.069,150865,101193,49672,32.9,70.59435142243886,suburban,79.0,110.0,39.0,30.0,35.0,24.0,"$53,632",6,11040.815,18.0,1.3753799282786865,0.0
18,Mendocino,CA,195548359000.0,37310460.0,567593740.0,14637681.5,89279.0,60205.49,0.0,29073.51,67.4,0.0,32.6,67.43521955880166,3506.343,87841,48110,39731,45.2,25.052027140527898,suburban,132.0,207.0,21.0,39.0,44.0,15.0,"$51,386",6,11040.815,44.0,0.0,0.0
19,Merced,CA,600959287000.0,76249314.0,1234693730.0,30313414.0,197103.998,146584.46,0.0,50519.538,74.4,0.0,25.6,74.36909553011473,1934.9720000000002,255793,219283,36510,14.3,132.19467775244294,suburban,60.0,72.0,45.0,26.0,25.0,25.0,"$56,169",6,11040.815,18.0,0.0,0.0
20,Mono,CA,46898975000.0,5909995.9,78404126.0,2257172.08,11887.0,5912.4137,0.0,5974.5863,49.7,0.0,50.3,49.73848500240228,3048.982,14202,7693,6509,45.8,4.6579481282605135,suburban,275.0,338.0,28.0,48.0,53.0,19.0,"$66,499",6,11040.815,7.0,0.0,0.0
