County,State
Alameda,CA
Alpine,CA
Amador,CA
Butte,CA
Calaveras,CA
Colusa,CA
Contra_Costa,CA
Del_Norte,CA
El_Dorado,CA
Fresno,CA
Glenn,CA
Humboldt,CA
Imperial,CA
Inyo,CA
Kern,CA
Kings,CA
Lake_CA,CA
Lassen,CA
Los_Angeles,CA
Madera,CA
Marin,CA
Mariposa,CA
Mendocino,CA
Merced,CA
Modoc,CA
Mono,CA
Monterey,CA
Napa,CA
Nevada,CA
Orange_CA,CA
Placer,CA
Plumas,CA
Riverside,CA
Sacramento,CA
San_Benito,CA
San_Bernardino,CA
San_Diego,CA
San_Francisco,CA
San_Joaquin,CA
San_Luis_Obispo,CA
San_Mateo,CA
Santa_Barbara,CA
Santa_Clara,CA
Santa_Cruz,CA
Shasta,CA
Sierra,CA
Siskiyou,CA
Solano,CA
Sonoma,CA
Stanislaus,CA
Sutter,CA
Tehama,CA
Trinity_CA,CA
Tulare,CA
Tuolumne,CA
Ventura,CA
Yolo,CA
Yuba,CA
Aitkin,MN
Anoka,MN
Becker,MN
Beltrami,MN
Benton,MN
Big_Stone,MN
Blue_Earth,MN
Brown_MN,MN
Carlton,MN
Carver,MN
Cass_MN,MN
Chippewa,MN
Chisago,MN
Clay_MN,MN
Clearwater,MN
Cook,MN
Cottonwood,MN
Crow_Wing,MN
Dakota,MN
Dodge,MN
Douglas,MN
Faribault,MN
Fillmore,MN
Freeborn,MN
Goodhue,MN
Grant,MN
Hennepin,MN
Houston_MN,MN
Hubbard,MN
Isanti,MN
Itasca,MN
Jackson_MN,MN
Kanabec,MN
Kandiyohi,MN
Kittson,MN
Koochiching,MN
Lac_qui_Parle,MN
Lake_MN,MN
Lake_of_the_Woods,MN
Le_Sueur,MN
Lincoln,MN
Lyon,MN
McLeod,MN
Mahnomen,MN
Marshall,MN
Martin_MN,MN
Meeker,MN
Mille_Lacs,MN
Morrison,MN
Mower,MN
Murray,MN
Nicollet,MN
Nobles,MN
Norman,MN
Olmsted,MN
Otter_Tail,MN
Pennington,MN
Pine,MN
Pipestone,MN
Polk_MN,MN
Pope,MN
Ramsey,MN
Red_Lake,MN
Redwood,MN
Renville,MN
Rice,MN
Rock,MN
Roseau,MN
St._Louis,MN
Scott,MN
