,County,annual_ghg_emissions,annual_operating_cost,total_annual_cost,annual_fuel_use,total_vehicle_count,vehicle_split_BEV,vehicle_split_FFV,vehicle_split_SIDI,vehicle_pc_BEV,vehicle_pc_FFV,vehicle_pc_SIDI,State
0,Alameda,2374394680000.0,385433330.0,7440924100.0,174591296.0,1217269.02,1015240.9,202028.12,0.0,83.4,16.6,0.0,CA
1,Alpine,3585886300.0000005,1133274.62,12695918.3,420333.981,1820.99999,396.96189,1.1247949e-13,1424.0381,21.8,0.0,78.2,CA
2,Amador,71470663000.0,15703854.5,198967876.0,5947661.7,29750.0,12759.691,0.0,16990.309,42.9,0.0,57.1,CA
3,Butte,440942292000.0,74447574.2,878529118.0,28566036.8,127992.9994,37501.096,8523.5134,81968.39,29.3,6.7,64.0,CA
4,Calaveras,98361826000.0,36755748.0,392792573.0,13531418.26,55341.0004,6895.8224,0.0,48445.178,12.5,0.0,87.5,CA
5,Colusa,40946292100.0,8158018.58,90405019.0,3020548.41,12915.0002,2546.2562,0.0,10368.744,19.7,0.0,80.3,CA
6,Contra Costa,3979453350000.0,257397306.0,5486870900.0,112496576.0,917891.0040000001,866589.4,51301.604,0.0,94.4,5.6,0.0,CA
7,Del Norte,32071621000.0,12204149.47,141427750.0,4509203.3,20284.9998,3952.5448,1.334172e-13,16332.455,19.5,0.0,80.5,CA
8,El Dorado,450165625000.0,67938627.3,903630204.0,27008233.8,137800.0001,73767.103,9187.9281,54844.969,53.5,6.7,39.8,CA
9,Fresno,1519300730000.0,409095979.0,4754541910.0,155157403.3,689722.998,188229.57,29860.008,471633.42,27.3,4.3,68.4,CA
10,Glenn,68004323430.0,10988534.717,120176903.47,4038248.72,16885.000454,1482.2344,97.637054,15305.129,8.8,0.6,90.6,CA
11,Humboldt,405353977000.0,68067613.4,801175150.0,25198550.5,115509.0,25547.061,0.0,89961.939,22.1,0.0,77.9,CA
12,Imperial,647336300200.0,107522160.9,1154834051.0,39650063.18,160949.0041,6870.5526,4262.8615,149815.59,4.3,2.6,93.1,CA
13,Inyo,74904044400.0,14666980.28,150223871.9,5364760.768999999,20805.9999,698.8439,0.0,20107.156,3.4,0.0,96.6,CA
14,Kern,1354622873000.0,379779722.5,4289674326.0,142059403.1,616616.006,140402.9,12043.326,464169.78,22.8,2.0,75.3,CA
15,Kings,230082106000.0,54791734.5,649993760.0,20515574.5,95132.0,30588.038,0.0,64543.962,32.2,0.0,67.8,CA
16,Lake CA,220144147000.0,39976215.4,473236635.0,14809827.8,68357.0,15769.465,1.334172e-13,52587.535,23.1,0.0,76.9,CA
17,Lassen,25027358900.0,10962502.540000001,112205048.4,4009361.107,15535.999960000001,498.26696,1.1247949e-13,15037.733,3.2,0.0,96.8,CA
18,Los Angeles,18707805950000.0,2971282800.0,47173462100.0,1385941077.0,7391981.999999999,4654633.6,2498008.6,239339.8,63.0,33.8,3.2,CA
19,Madera,272133644900.0,65632269.84,774142188.0,24681285.66,113015.9994,34763.276,1554.3994,76698.324,30.8,1.4,67.9,CA
20,Marin,834014510000.0,77669118.0,1352168610.0,31214664.0,218822.0,175635.25,0.0,43186.75,80.3,0.0,19.7,CA
21,Mariposa,43932691000.0,11913482.1,136152784.0,4433092.46,19670.0001,5019.8291,0.0,14650.171,25.5,0.0,74.5,CA
22,Mendocino,268898122000.0,53307543.1,615673980.0,19870578.0,89279.0,24493.89,0.0,64785.11,27.4,0.0,72.6,CA
23,Merced,439022760000.0,111566569.0,1340841950.0,41866240.2,197104.00199999998,67742.862,0.0,129361.14,34.4,0.0,65.6,CA
24,Modoc,14557953460.0,3410706.601,36576111.7,1248550.126,5104.00004,270.03154,0.0,4833.9685,5.3,0.0,94.7,CA
25,Mono,50399314200.0,8039918.26,84805741.0,2953902.97,11886.9997,1157.6137,0.0,10729.386,9.7,0.0,90.3,CA
26,Monterey,1026466920000.0,173922570.0,2198993960.0,65846656.0,328583.0,139864.52,0.0,188718.48,42.6,0.0,57.4,CA
27,Napa,319657506000.0,55174711.0,798259940.0,23064867.099999998,124367.0,78977.796,15698.897,29690.307,63.5,12.6,23.9,CA
28,Nevada,287775110000.0,37146207.1,481379940.0,14126072.1,72476.0,33564.974,0.0,38911.026,46.3,0.0,53.7,CA
29,Orange CA,10936552050000.0,733019476.0,15263512190.0,318846283.0,2555482.0500000003,2444689.1,110792.95,0.0,95.7,4.3,0.0,CA
30,Placer,786860671000.0,135169010.0,1890080470.0,54624356.6,292264.004,175968.46,22057.043,94238.501,60.2,7.5,32.2,CA
31,Plumas,25952409400.0,10058090.19,106466700.2,3697381.55,14943.9996,1565.7496,0.0,13378.25,10.5,0.0,89.5,CA
32,Riverside,6153128450000.0,954226650.0,11915025900.0,385284636.0,1761050.0,630093.62,295610.62,835345.76,35.8,16.8,47.4,CA
33,Sacramento,3671778000000.0,323122510.0,5936667700.0,147055569.0,965955.0,789261.73,176693.27,0.0,81.7,18.3,0.0,CA
34,San Benito,184300738000.0,35360526.9,374435750.0,13054682.1,52934.0003,8238.9843,0.0,44695.016,15.6,0.0,84.4,CA
35,San Bernardino,2942873200000.0,1071702689.0,11381086210.0,399861604.0,1596698.016,157759.75,67939.166,1370999.1,9.9,4.3,85.9,CA
36,San Diego,7552458100000.0,1316714140.0,17209209200.0,557382140.0,2597947.96,1238046.2,570621.91,789279.85,47.7,22.0,30.4,CA
37,San Francisco,1550178673000.0,121634010.6,2695319007.0,52349552.0,454532.9973,446841.06,7691.9373,0.0,98.3,1.7,0.0,CA
38,San Joaquin,2013549900000.0,245616149.0,3616972800.0,104991958.0,559680.0,325027.57,110421.54,124230.89,58.1,19.7,22.2,CA
39,San Luis Obispo,676497680000.0,126563712.0,1606936230.0,49485145.8,239665.002,98335.106,18254.906,123074.99,41.0,7.6,51.4,CA
40,San Mateo,2975445680000.0,246202560.0,4451045600.0,113913497.0,716318.0,538497.56,177820.44,0.0,75.2,24.8,0.0,CA
41,Santa Barbara,1190245575000.0,201192025.1,2350035627.0,76654937.4,344179.993,115729.57,11845.293,216605.13,33.6,3.4,62.9,CA
42,Santa Clara,5333026900000.0,644297330.0,9547357000.0,276829763.0,1496123.0,990371.34,261392.61,244359.05,66.2,17.5,16.3,CA
43,Santa Cruz,1007889500000.0,101463090.0,1509790160.0,40034331.0,237902.001,165683.85,0.0,72218.151,69.6,0.0,30.4,CA
44,Shasta,216374150000.0,70814143.2,771274690.0,26147354.7,109466.0,17858.708,1.1247949e-13,91607.292,16.3,0.0,83.7,CA
45,Sierra,10621278900.0,1645043.8199999998,17856121.8,607089.145,2531.00004,395.66904,0.0,2135.331,15.6,0.0,84.4,CA
46,Siskiyou,42488910400.0,20046747.27,215296606.6,7339722.0,30059.9996,1676.8786,0.0,28383.121,5.6,0.0,94.4,CA
47,Solano,1113517920000.0,115069923.0,1878152170.0,53302770.0,300122.0,224124.65,75997.35,0.0,74.7,25.3,0.0,CA
48,Sonoma,1516691187800.0,160194290.64,2700507446.5,65168983.42,438162.00148,364712.66,958.23748,72491.104,83.2,0.2,16.5,CA
