,counties,county_stripped
0,Alameda ,Alameda 
1,"Alpine County, California",Alpine
2,"Amador County, California",Amador
3,"Butte County, California",Butte
4,"Calaveras County, California",Calaveras
5,"Colusa County, California",Colusa
6,"Contra Costa County, California",Contra Costa
7,"Del Norte County, California",Del Norte
8,"El Dorado County, California",El Dorado
9,"Fresno County, California",Fresno
10,"Glenn County, California",Glenn
11,"Humboldt County, California",Humboldt
12,"Imperial County, California",Imperial
13,"Inyo County, California",Inyo
14,"Kern County, California",Kern
15,"Kings County, California",Kings
16,"Lake County, California",Lake
17,"Lassen County, California",Lassen
18,"Los Angeles County, California",Los Angeles
19,"Madera County, California",Madera
20,"Marin County, California",Marin
21,"Mariposa County, California",Mariposa
22,"Mendocino County, California",Mendocino
23,"Merced County, California",Merced
24,"Modoc County, California",Modoc
25,"Mono County, California",Mono
26,"Monterey County, California",Monterey
27,"Napa County, California",Napa
28,"Nevada County, California",Nevada
29,"Orange County, California",Orange
30,"Placer County, California",Placer
31,"Plumas County, California",Plumas
32,"Riverside County, California",Riverside
33,"Sacramento County, California",Sacramento
34,"San Benito County, California",San Benito
35,"San Bernardino County, California",San Bernardino
36,"San Diego County, California",San Diego
37,"San Francisco County, California",San Francisco
38,"San Joaquin County, California",San Joaquin
39,"San Luis Obispo County, California",San Luis Obispo
40,"San Mateo County, California",San Mateo
41,"Santa Barbara County, California",Santa Barbara
42,"Santa Clara County, California",Santa Clara
43,"Santa Cruz County, California",Santa Cruz
44,"Shasta County, California",Shasta
45,"Sierra County, California",Sierra
46,"Siskiyou County, California",Siskiyou
47,"Solano County, California",Solano
48,"Sonoma County, California",Sonoma
49,"Stanislaus County, California",Stanislaus
50,"Sutter County, California",Sutter
51,"Tehama County, California",Tehama
52,"Trinity County, California",Trinity
53,"Tulare County, California",Tulare
54,"Tuolumne County, California",Tuolumne
55,"Ventura County, California",Ventura
56,"Yolo County, California",Yolo
57,"Yuba County, California",Yuba
58,"Aitkin County, Minnesota",Aitkin
59,"Anoka County, Minnesota",Anoka
60,"Becker County, Minnesota",Becker
61,"Beltrami County, Minnesota",Beltrami
62,"Benton County, Minnesota",Benton
63,"Big Stone County, Minnesota",Big Stone
64,"Blue Earth County, Minnesota",Blue Earth
65,"Brown County, Minnesota",Brown
66,"Carlton County, Minnesota",Carlton
67,"Carver County, Minnesota",Carver
68,"Cass County, Minnesota",Cass
69,"Chippewa County, Minnesota",Chippewa
70,"Chisago County, Minnesota",Chisago
71,"Clay County, Minnesota",Clay
72,"Clearwater County, Minnesota",Clearwater
73,"Cook County, Minnesota",Cook
74,"Cottonwood County, Minnesota",Cottonwood
75,"Crow Wing County, Minnesota",Crow Wing
76,"Dakota County, Minnesota",Dakota
77,"Dodge County, Minnesota",Dodge
78,"Douglas County, Minnesota",Douglas
79,"Faribault County, Minnesota",Faribault
80,"Fillmore County, Minnesota",Fillmore
81,"Freeborn County, Minnesota",Freeborn
82,"Goodhue County, Minnesota",Goodhue
83,"Grant County, Minnesota",Grant
84,"Hennepin County, Minnesota",Hennepin
85,"Houston County, Minnesota",Houston
86,"Hubbard County, Minnesota",Hubbard
87,"Isanti County, Minnesota",Isanti
88,"Itasca County, Minnesota",Itasca
89,"Jackson County, Minnesota",Jackson
90,"Kanabec County, Minnesota",Kanabec
91,"Kandiyohi County, Minnesota",Kandiyohi
92,"Kittson County, Minnesota",Kittson
