,Fuel Type Code,Station Name,City,State,ZIP,Latitude,Longitude,ID,E85 Blender Pump,Points,County
0,E85,Sioux Valley Co-op - Cenex,Watertown,SD,57201,44.904113,-97.130798,1447,True,"(-97.130798, 44.904113)",Codington
1,E85,F&M Co-op Oil,Madison,SD,57042,44.007690000000004,-97.146785,1451,True,"(-97.146785, 44.007690000000004)",Lake
2,E85,Kum & Go #113,Ames,IA,50010,42.034894,-93.575925,1470,True,"(-93.575925, 42.034894)",Story
3,E85,Texaco - Highway 34 Truckstop,West Burlington,IA,52655,40.825493,-91.20835500000001,1479,False,"(-91.20835500000001, 40.825493)",Des Moines
4,E85,Conoco - Convenient Food Mart,Jefferson City,MO,65109,38.588189,-92.255887,1480,False,"(-92.255887, 38.588189)",Cole
5,E85,Flying J,Rapid City,SD,57709,44.103769,-103.14969,1487,False,"(-103.14969, 44.103769)",Pennington
6,E85,Evergreen FS Farmtown,Bloomington,IL,61704,40.453057,-88.96696,5564,False,"(-88.96696, 40.453057)",McLean
7,E85,Kwik Trip #334,Mankato,MN,56001,44.187909999999995,-94.012676,6219,False,"(-94.012676, 44.187909999999995)",Blue Earth
8,E85,Kwik Trip #382,Rochester,MN,55901,44.066369,-92.50330699999999,7102,False,"(-92.50330699999999, 44.066369)",Olmsted
9,E85,Phillips 66 - Sandy's,Rockford,IL,61109,42.223132,-89.027541,7115,False,"(-89.027541, 42.223132)",Winnebago
10,E85,Bobby & Steve's Mobil,Minneapolis,MN,55415,44.974073,-93.251026,7116,False,"(-93.251026, 44.974073)",Hennepin
11,E85,Conoco - Convenient Mart,Jefferson City,MO,65101,38.549973,-92.149117,13039,True,"(-92.149117, 38.549973)",Cole
12,E85,Petro Serve USA - Farmers Union Oil Co,Bismarck,ND,58501,46.823993,-100.774849,13049,True,"(-100.774849, 46.823993)",Burleigh
13,E85,Bobby & Steve's Mobil,Columbia Heights,MN,55421,45.036651,-93.246789,16239,False,"(-93.246789, 45.036651)",Anoka
14,E85,Holiday Stationstore #73,Bloomington,MN,55420,44.851239,-93.287848,16241,False,"(-93.287848, 44.851239)",Hennepin
15,E85,Jerry's U-Save Conoco,Morris,MN,56267,45.325268,-95.580093,18964,False,"(-95.580093, 45.325268)",Swift
16,E85,Cenex - Glacial Plains Co-op,Benson,MN,56215,45.314149,-95.597034,18967,True,"(-95.597034, 45.314149)",Swift
17,E85,Kwik Trip #445,Austin,MN,55912,43.678937,-92.980113,18971,False,"(-92.980113, 43.678937)",Mower
18,E85,Holiday Stationstore #259,Coon Rapids,MN,55448,45.152809999999995,-93.27225899999999,18972,False,"(-93.27225899999999, 45.152809999999995)",Anoka
19,E85,Holiday Stationstore #292,Brooklyn Center,MN,55430,45.074958,-93.28788399999999,18976,False,"(-93.28788399999999, 45.074958)",Hennepin
20,E85,Holiday Stationstore #4,St. Paul,MN,55106,44.962858000000004,-93.03913,18980,False,"(-93.03913, 44.962858000000004)",Ramsey
21,E85,Holiday Stationstore #43,St. Paul,MN,55104,44.95859,-93.166635,18982,False,"(-93.166635, 44.95859)",Ramsey
22,E85,Holiday Stationstore #12,Shorewood,MN,55331,44.907799,-93.53193900000001,18983,False,"(-93.53193900000001, 44.907799)",Hennepin
23,E85,Holiday Stationstore #83,Shakopee,MN,55379,44.798999,-93.521407,18985,False,"(-93.521407, 44.798999)",Scott
24,E85,Holiday Stationstore #245,Bloomington,MN,55437,44.807342999999996,-93.351905,18986,False,"(-93.351905, 44.807342999999996)",Hennepin
25,E85,Holiday Stationstore #247,Eagan,MN,55122,44.826776,-93.16811899999999,18987,False,"(-93.16811899999999, 44.826776)",Dakota
26,E85,Kwik Trip #662,Eagan,MN,55121,44.843646,-93.123553,18988,False,"(-93.123553, 44.843646)",Dakota
27,E85,Holiday Stationstore Mega Stop #3552,Lakeville,MN,55044,44.643244,-93.289764,18989,False,"(-93.289764, 44.643244)",Dakota
28,E85,Cenex - Belgrade Co-op,Belgrade,MN,56312,45.452715000000005,-95.004701,19150,True,"(-95.004701, 45.452715000000005)",Stearns
29,E85,BP - Expressway,Luverne,MN,56156,43.640938,-96.213763,19153,True,"(-96.213763, 43.640938)",Rock
30,E85,Cenex - Farmers Co-op Elevator,Buffalo Lake,MN,55314,44.737557,-94.622302,20745,False,"(-94.622302, 44.737557)",Renville
31,E85,Cenex - Central Counties Co-op,Litchfield,MN,55355,45.121590999999995,-94.503642,20748,False,"(-94.503642, 45.121590999999995)",Meeker
32,E85,Citgo,Chicago,IL,60613,41.956159,-87.663596,20844,False,"(-87.663596, 41.956159)",Cook
33,E85,Kean Brothers Oil Co,Chicago,IL,60655,41.691997,-87.687613,20845,False,"(-87.687613, 41.691997)",Cook
34,E85,Cenex - Meadowland,Wabasso,MN,56293,44.39915,-95.258619,20867,True,"(-95.258619, 44.39915)",Redwood
35,E85,Cenex - Freeborn County Co-op,Albert Lea,MN,56007,43.649515,-93.36582299999999,20868,True,"(-93.36582299999999, 43.649515)",Freeborn
36,E85,Sinclair,Denver,CO,80209,39.711518,-104.987981,20899,False,"(-104.987981, 39.711518)",Denver
37,E85,Cenex - Farmers Co-op Oil Co,Sacred Heart,MN,56285,44.787403000000005,-95.341421,20986,True,"(-95.341421, 44.787403000000005)",Renville
38,E85,Cenex - Olivia,Olivia,MN,56277,44.776707,-94.994495,20987,True,"(-94.994495, 44.776707)",Renville
39,E85,Cenex C-Store,Granite Falls,MN,56241,44.806338000000004,-95.54527,20994,True,"(-95.54527, 44.806338000000004)",Yellow Medicine
40,E85,Cenex Convenience Store,Glenwood,MN,56334,45.646833,-95.37212199999999,21090,True,"(-95.37212199999999, 45.646833)",Pope
41,E85,Fort Meade Auto Center,Laurel,MD,20724,39.091377,-76.774898,21290,True,"(-76.774898, 39.091377)",Anne Arundel
42,E85,Cenex - Ag Plus Co-op,Minneota,MN,56264,44.558104,-95.985501,21444,True,"(-95.985501, 44.558104)",Lyon
43,E85,AgPlus Cenex,Marshall,MN,56258,44.442479999999996,-95.795705,21445,False,"(-95.795705, 44.442479999999996)",Lyon
44,E85,Cenex - Cottonwood Co-op Oil Co,Cottonwood,MN,56229,44.609778999999996,-95.671563,21446,True,"(-95.671563, 44.609778999999996)",Lyon
45,E85,Montgomery County Government - Gaithersburg Highway Fuel Site,Derwood,MD,20855,39.132781,-77.172278,21735,False,"(-77.172278, 39.132781)",Montgomery
46,E85,Acorn Petroleum,Pueblo,CO,81006,38.274654999999996,-104.496219,21741,False,"(-104.496219, 38.274654999999996)",Pueblo
47,E85,Breck Superpumper,Breckenridge,MN,56520,46.261969,-96.58752,21765,False,"(-96.58752, 46.261969)",Wilkin
48,E85,Walt's 66 Carwash,Willmar,MN,56201,45.111290000000004,-95.043137,21766,False,"(-95.043137, 45.111290000000004)",Kandiyohi
49,E85,Tobies Marathon,Hinckley,MN,55037,46.010739,-92.930058,21965,False,"(-92.930058, 46.010739)",Pine
50,E85,Country Corner Cenex,Graceville,MN,56240,45.571633,-96.431225,21976,True,"(-96.431225, 45.571633)",Big Stone
51,E85,Holiday Stationstore #335,Minneapolis,MN,55413,45.002254,-93.209326,21978,False,"(-93.209326, 45.002254)",Hennepin
52,E85,Cenex - Farmers Co-op Oil Co,Clara City,MN,56222,44.948469,-95.37276700000001,21993,True,"(-95.37276700000001, 44.948469)",Chippewa
53,E85,Country Pride Services,Windom,MN,56101,43.85564785,-95.11466968,21994,False,"(-95.11466968, 43.85564785)",Cottonwood
54,E85,Acorn Petroleum,Brush,CO,80723,40.2665,-103.621179,21996,False,"(-103.621179, 40.2665)",Morgan
55,E85,Pearson Fuels Depot,San Diego,CA,92105,32.754335,-117.107501,22617,False,"(-117.107501, 32.754335)",San Diego
56,E85,Kwik Shop #728,Maize,KS,67101,37.780218,-97.46252700000001,22620,False,"(-97.46252700000001, 37.780218)",Sedgwick
57,E85,Glencoe Co-op Association,Glencoe,MN,55336,44.768858,-94.157543,23311,True,"(-94.157543, 44.768858)",McLeod
58,E85,Holiday Stationstore #333,Lakeville,MN,55044,44.71696604,-93.21326579,23804,False,"(-93.21326579, 44.71696604)",Dakota
59,E85,West Park Travel Center,Huron,SD,57350,44.37030256,-98.25412687,23862,False,"(-98.25412687, 44.37030256)",Beadle
