DMV ID,ZIP Code,Registration Expiration Date,VIN Prefix,VIN Model Year,Registration Valid Date
6,55347,01/12/2020,5YJ3E1EB,L,30/01/2020
6,55432,01/12/2020,5YJ3E1EC,L,30/01/2020
6,55330,01/07/2020,5YJSA1E2,G,30/01/2020
6,56377,01/04/2020,5YJXCDE2,H,30/01/2020
6,55109,01/12/2020,5YJ3E1EC,L,30/01/2020
6,55445,01/01/2021,5YJXCBE4,G,30/01/2020
6,55414,01/11/2020,1N4AZ0CP,F,29/01/2020
6,55301,01/06/2020,5YJ3E1EB,K,29/01/2020
6,55124,01/12/2020,1G1RA6E4,D,29/01/2020
6,55125,01/01/2021,JA4J24A5,K,29/01/2020
6,55901,01/12/2020,3FA6P0PU,E,29/01/2020
6,55901,01/09/2020,5YJSA1H2,E,29/01/2020
6,55011,01/01/2021,JA4J24A5,J,29/01/2020
6,55045,01/01/2021,3FA6P0SU,J,29/01/2020
6,55413,01/01/2021,1G1FW6S0,H,28/01/2020
6,55120,01/01/2021,KNDCD3LD,K,28/01/2020
6,55331,01/12/2020,1N4BZ1CP,K,28/01/2020
6,55101,01/01/2021,1FADP5CU,D,28/01/2020
6,55108,01/01/2021,WAUVPBFF,G,28/01/2020
6,55804,01/12/2020,5YJ3E1EB,K,28/01/2020
6,55416,01/12/2020,JA3215H4,G,28/01/2020
6,55427,01/01/2021,SADHD2S1,K,27/01/2020
6,55129,01/01/2021,1N4BZ1CP,K,27/01/2020
6,55446,01/01/2021,5YJ3E1EA,K,27/01/2020
6,55369,01/01/2021,1G1FZ6S0,K,27/01/2020
6,55107,01/01/2021,1N4BZ0CP,G,27/01/2020
6,56087,01/12/2020,JTDKARFP,J,27/01/2020
6,55104,01/01/2021,KNDCD3LD,K,27/01/2020
6,55105,01/01/2021,1N4AZ1CP,J,27/01/2020
6,55082,01/01/2021,5YJSA1S2,F,27/01/2020
6,55129,01/12/2020,WBY8P4C5,K,27/01/2020
6,55113,01/01/2021,JTDKARFP,L,27/01/2020
6,55074,01/01/2021,1G1FZ6S0,K,27/01/2020
6,55104,01/03/2021,1G1RB6S5,H,26/01/2020
6,55428,01/12/2020,3FA6P0PU,D,26/01/2020
6,55025,01/10/2020,1G1RA6E4,C,25/01/2020
6,55430,01/01/2021,WBY1Z4C5,G,25/01/2020
6,55129,01/12/2020,5YJ3E1EB,L,25/01/2020
6,55423,01/12/2020,5YJ3E1EB,L,25/01/2020
6,55102,01/12/2020,KNDCD3LD,K,24/01/2020
6,55901,01/01/2021,JA4J24A5,J,24/01/2020
6,56601,01/03/2021,1N4AZ1CP,J,24/01/2020
6,55434,01/12/2020,5YJ3E1EB,L,24/01/2020
6,55802,01/02/2021,KL8CL6S0,F,24/01/2020
6,55129,01/12/2020,5YJ3E1EB,L,23/01/2020
6,55446,01/01/2021,5UXKT0C5,G,23/01/2020
6,55438,01/01/2021,WBAJB1C0,L,23/01/2020
6,55405,01/01/2021,5YJSA1E4,H,23/01/2020
6,55120,01/12/2020,1N4BZ1CP,K,23/01/2020
6,55302,01/12/2020,5YJXCDE2,L,23/01/2020
6,55044,01/12/2020,5YJ3E1EB,L,23/01/2020
6,55416,01/12/2020,5YJSA1H2,F,23/01/2020
6,55803,01/12/2020,5YJ3E1EB,L,23/01/2020
6,55118,01/12/2020,5YJ3E1EC,L,23/01/2020
6,55379,01/12/2020,5YJ3E1EB,L,23/01/2020
6,55044,01/10/2020,5YJSA1E2,G,23/01/2020
6,56465,01/05/2020,SADHD2S1,K,23/01/2020
6,55419,01/12/2020,5YJSA1E2,H,22/01/2020
6,56338,01/01/2021,JA4J24A5,K,22/01/2020
6,56304,01/01/2021,1G1FZ6S0,K,22/01/2020
6,55105,01/01/2021,WA1LABGE,K,22/01/2020
6,55355,01/02/2021,JTDKN3DP,C,22/01/2020
6,55403,01/01/2021,WA1VAAGE,K,22/01/2020
6,55981,01/12/2020,1N4AZ0CP,E,22/01/2020
6,55407,01/01/2021,1G1RA6S5,H,21/01/2020
6,55414,01/01/2021,1G1RB6S5,H,21/01/2020
6,55437,01/02/2021,1N4BZ1CP,K,21/01/2020
6,55126,01/12/2020,5YJ3E1EB,L,21/01/2020
6,55346,01/01/2022,YV4BC0PM,H,21/01/2020
6,55404,01/01/2021,3C3CFFGE,G,21/01/2020
6,55416,01/01/2021,5YJSA1E2,H,21/01/2020
6,55405,01/12/2020,JN1AZ0CP,C,21/01/2020
6,56007,01/01/2021,1G1RD6E4,E,20/01/2020
6,56007,01/01/2021,1G1RD6E4,C,20/01/2020
6,55110,01/05/2020,JA3215H1,C,20/01/2020
