household_income_ID,Income Class,state,Classification,VMT
1,"Less than $10,000",CA,Rural,
2,"$10,000 to $14,999",CA,Rural,
3,"$15,000 to $24,999",CA,Rural,
4,"$25,000 to $34,999",CA,Rural,
5,"$35,000 to $49,999",CA,Rural,
6,"$50,000 to $74,999",CA,Rural,
7,"$75,000 to $99,999",CA,Rural,
8,"$100,000 to $124,999",CA,Rural,
9,"$125,000 to $149,999",CA,Rural,
10,"$150,000 to $199,999",CA,Rural,
11,"$200,000 or more",CA,Rural,
1,"Less than $10,000",CA,Suburban,
2,"$10,000 to $14,999",CA,Suburban,
3,"$15,000 to $24,999",CA,Suburban,
4,"$25,000 to $34,999",CA,Suburban,
5,"$35,000 to $49,999",CA,Suburban,
6,"$50,000 to $74,999",CA,Suburban,
7,"$75,000 to $99,999",CA,Suburban,
8,"$100,000 to $124,999",CA,Suburban,
9,"$125,000 to $149,999",CA,Suburban,
10,"$150,000 to $199,999",CA,Suburban,
11,"$200,000 or more",CA,Suburban,
1,"Less than $10,000",CA,Urban,
2,"$10,000 to $14,999",CA,Urban,
3,"$15,000 to $24,999",CA,Urban,
4,"$25,000 to $34,999",CA,Urban,
5,"$35,000 to $49,999",CA,Urban,
6,"$50,000 to $74,999",CA,Urban,
7,"$75,000 to $99,999",CA,Urban,
8,"$100,000 to $124,999",CA,Urban,
9,"$125,000 to $149,999",CA,Urban,
10,"$150,000 to $199,999",CA,Urban,
11,"$200,000 or more",CA,Urban,
