household_income_ID,Income Class,state,Classification,VMT
1,"Less than $10,000",CA,Rural,12225.835
2,"$10,000 to $14,999",CA,Rural,9564.3
3,"$15,000 to $24,999",CA,Rural,9626
4,"$25,000 to $34,999",CA,Rural,10542.095
5,"$35,000 to $49,999",CA,Rural,9327.05
6,"$50,000 to $74,999",CA,Rural,9828.845
7,"$75,000 to $99,999",CA,Rural,10951.11
8,"$100,000 to $124,999",CA,Rural,10621.31
9,"$125,000 to $149,999",CA,Rural,11207.96
10,"$150,000 to $199,999",CA,Rural,11306.49
11,"$200,000 or more",CA,Rural,10623.315
1,"Less than $10,000",CA,Suburban,11593.835
2,"$10,000 to $14,999",CA,Suburban,11660.145
3,"$15,000 to $24,999",CA,Suburban,13083.875
4,"$25,000 to $34,999",CA,Suburban,10921.56
5,"$35,000 to $49,999",CA,Suburban,10504.72
6,"$50,000 to $74,999",CA,Suburban,11040.815
7,"$75,000 to $99,999",CA,Suburban,11085.985
8,"$100,000 to $124,999",CA,Suburban,10906.435
9,"$125,000 to $149,999",CA,Suburban,11626.35
10,"$150,000 to $199,999",CA,Suburban,11896.16
11,"$200,000 or more",CA,Suburban,10648.11
1,"Less than $10,000",CA,Urban,8654.77
2,"$10,000 to $14,999",CA,Urban,10404.97
3,"$15,000 to $24,999",CA,Urban,10532.49
4,"$25,000 to $34,999",CA,Urban,10080.13
5,"$35,000 to $49,999",CA,Urban,10187.38
6,"$50,000 to $74,999",CA,Urban,10412.94
7,"$75,000 to $99,999",CA,Urban,10760.06
8,"$100,000 to $124,999",CA,Urban,10829.72
9,"$125,000 to $149,999",CA,Urban,12200.59
10,"$150,000 to $199,999",CA,Urban,10156.15
11,"$200,000 or more",CA,Urban,11587.61
