Income Class,Second City,Rural,Suburban,Small Town,Urban
"Less than $10,000",30698.45,4457.79,20564.39,10868.2,20343.61
"$10,000 to $14,999",.,7312.2,.,5894.01,7285.62
"$15,000 to $24,999",7821.68,7387.36,6851.91,7100.95,.
"$25,000 to $34,999",11465.31,10546.35,12242.82,8269.48,9121.91
"$35,000 to $49,999",6963.52,12907.87,7390.9,8128.09,10915.29
"$50,000 to $74,999",30830.41,12651.78,12151.99,11563.95,10225.91
"$75,000 to $99,999",12060.74,12278.06,13330.45,11219.77,9427.56
"$100,000 to $124,999",9231.08,12735.73,17013.51,9282.74,14787.74
"$125,000 to $149,999",6932.46,8536.83,9188.14,12925.38,62466.25
"$150,000 to $199,999",10187.64,21438.75,13077.45,10085.26,10041.84
"$200,000 or more",13415.97,9505.55,14231.81,10220.72,10296.29
