household_income_ID,Income Class,state,Classification,VMT
1,"Less than $10,000",CA,Rural,12225.835
2,"$10,000 to $14,999",CA,Rural,9564.3
3,"$15,000 to $24,999",CA,Rural,9626
4,"$25,000 to $34,999",CA,Rural,10542.095
5,"$35,000 to $49,999",CA,Rural,9327.05
6,"$50,000 to $74,999",CA,Rural,9828.845
7,"$75,000 to $99,999",CA,Rural,10951.11
8,"$100,000 to $124,999",CA,Rural,10621.31
9,"$125,000 to $149,999",CA,Rural,11207.96
10,"$150,000 to $199,999",CA,Rural,11306.49
11,"$200,000 or more",CA,Rural,10623.315
1,"Less than $10,000",CA,Suburban,11593.835
2,"$10,000 to $14,999",CA,Suburban,11660.145
3,"$15,000 to $24,999",CA,Suburban,13083.875
4,"$25,000 to $34,999",CA,Suburban,10921.56
5,"$35,000 to $49,999",CA,Suburban,10504.72
6,"$50,000 to $74,999",CA,Suburban,11040.815
7,"$75,000 to $99,999",CA,Suburban,11085.985
8,"$100,000 to $124,999",CA,Suburban,10906.435
9,"$125,000 to $149,999",CA,Suburban,11626.35
10,"$150,000 to $199,999",CA,Suburban,11896.16
11,"$200,000 or more",CA,Suburban,10648.11
1,"Less than $10,000",CA,Urban,8654.77
2,"$10,000 to $14,999",CA,Urban,10404.97
3,"$15,000 to $24,999",CA,Urban,10532.49
4,"$25,000 to $34,999",CA,Urban,10080.13
5,"$35,000 to $49,999",CA,Urban,10187.38
6,"$50,000 to $74,999",CA,Urban,10412.94
7,"$75,000 to $99,999",CA,Urban,10760.06
8,"$100,000 to $124,999",CA,Urban,10829.72
9,"$125,000 to $149,999",CA,Urban,12200.59
10,"$150,000 to $199,999",CA,Urban,10156.15
11,"$200,000 or more",CA,Urban,11587.61
1,"Less than $10,000",MN,Rural,7662.995
2,"$10,000 to $14,999",MN,Rural,6603.105
3,"$15,000 to $24,999",MN,Rural,7244.155
4,"$25,000 to $34,999",MN,Rural,9407.915
5,"$35,000 to $49,999",MN,Rural,10517.98
6,"$50,000 to $74,999",MN,Rural,12107.865
7,"$75,000 to $99,999",MN,Rural,11748.915
8,"$100,000 to $124,999",MN,Rural,11009.235
9,"$125,000 to $149,999",MN,Rural,10731.105
10,"$150,000 to $199,999",MN,Rural,15762.005
11,"$200,000 or more",MN,Rural,9863.135
1,"Less than $10,000",MN,Suburban,20783.325
2,"$10,000 to $14,999",MN,Suburban,5894.01
3,"$15,000 to $24,999",MN,Suburban,7461.315
4,"$25,000 to $34,999",MN,Suburban,9867.395
5,"$35,000 to $49,999",MN,Suburban,7545.805
6,"$50,000 to $74,999",MN,Suburban,21197.18
7,"$75,000 to $99,999",MN,Suburban,11640.255
8,"$100,000 to $124,999",MN,Suburban,9256.91
9,"$125,000 to $149,999",MN,Suburban,9928.92
10,"$150,000 to $199,999",MN,Suburban,10136.45
11,"$200,000 or more",MN,Suburban,11818.345
1,"Less than $10,000",MN,Urban,20343.61
2,"$10,000 to $14,999",MN,Urban,7285.62
3,"$15,000 to $24,999",MN,Urban,NaN
4,"$25,000 to $34,999",MN,Urban,9121.91
5,"$35,000 to $49,999",MN,Urban,10915.29
6,"$50,000 to $74,999",MN,Urban,10225.91
7,"$75,000 to $99,999",MN,Urban,9427.56
8,"$100,000 to $124,999",MN,Urban,14787.74
9,"$125,000 to $149,999",MN,Urban,62466.25
10,"$150,000 to $199,999",MN,Urban,10041.84
11,"$200,000 or more",MN,Urban,10296.29
1,"Less than $10,000",TX,Rural,10750.6
2,"$10,000 to $14,999",TX,Rural,9670.37
3,"$15,000 to $24,999",TX,Rural,10446.71
4,"$25,000 to $34,999",TX,Rural,10741.12
5,"$35,000 to $49,999",TX,Rural,11839.385
6,"$50,000 to $74,999",TX,Rural,12627.015
7,"$75,000 to $99,999",TX,Rural,12982.91
8,"$100,000 to $124,999",TX,Rural,13170.88
9,"$125,000 to $149,999",TX,Rural,14343.775
10,"$150,000 to $199,999",TX,Rural,14023.74
11,"$200,000 or more",TX,Rural,12756.6
1,"Less than $10,000",TX,Suburban,11226.22
2,"$10,000 to $14,999",TX,Suburban,10835.755
3,"$15,000 to $24,999",TX,Suburban,11728.515
4,"$25,000 to $34,999",TX,Suburban,11692.865
5,"$35,000 to $49,999",TX,Suburban,11574.835
6,"$50,000 to $74,999",TX,Suburban,12492.615
7,"$75,000 to $99,999",TX,Suburban,11990
8,"$100,000 to $124,999",TX,Suburban,12785.6
9,"$125,000 to $149,999",TX,Suburban,12868.305
10,"$150,000 to $199,999",TX,Suburban,12042.235
11,"$200,000 or more",TX,Suburban,11707.795
1,"Less than $10,000",TX,Urban,10007.03
2,"$10,000 to $14,999",TX,Urban,10128.08
3,"$15,000 to $24,999",TX,Urban,11020.28
4,"$25,000 to $34,999",TX,Urban,11765.54
5,"$35,000 to $49,999",TX,Urban,10288.33
6,"$50,000 to $74,999",TX,Urban,11502.96
7,"$75,000 to $99,999",TX,Urban,11359.21
8,"$100,000 to $124,999",TX,Urban,11074.35
9,"$125,000 to $149,999",TX,Urban,11426.46
10,"$150,000 to $199,999",TX,Urban,10541.3
11,"$200,000 or more",TX,Urban,10834.84
